model,seed,fold,case,tp,tn,fp,fn,auc,accuracy,sensitivity,specificity,precision,f1,iou,thin_gt_pixels,thin_fn_pixels,far_fp_pixels,evaluated_segments,recovered_segments,partial_segments,missed_segments,mean_tolerant_centerline_coverage,median_tolerant_centerline_coverage,evaluated_centerline_pixels,length_weighted_coverage,long_segments,long_centerline_pixels,long_branch_coverage
unet_standard,41,3,im0001,26392,273577,3885,7407,0.9848871918950165,0.9637217640501059,0.7808515044823812,0.9859980826203227,0.8716847772236351,0.8237717710219115,0.7003502812864877,13119,3291,426,85,65,5,15,0.7903314659197013,1.0,658,0.7796352583586627,3,67,1.0
unet_standard,41,3,im0005,27920,269290,4474,10337,0.9824550803093088,0.9525320411126175,0.7298010821548998,0.9836574567875981,0.861888003951349,0.7903639014309777,0.6533898106760899,12603,4828,2385,54,41,7,6,0.8281505531505532,1.0,446,0.8565022421524664,0,0,
unet_standard,41,3,im0077,31469,269658,6414,2471,0.9942903855771238,0.9713398191037766,0.9271950500883913,0.9767669303659915,0.8306892273579178,0.8762931094496192,0.779823561480894,12666,1175,652,90,87,2,1,0.9685185185185186,1.0,806,0.9602977667493796,6,150,0.86
unet_standard,41,3,im0163,31057,272447,6207,1694,0.9957656115304212,0.974627896148103,0.9482763885072212,0.9777250640579357,0.8334317303563761,0.887152752981504,0.7971918476307819,12614,905,458,104,99,3,2,0.9622367216117216,1.0,977,0.970317297850563,5,160,1.0
unet_standard,41,4,im0003,21740,282966,4454,3605,0.9904022093056122,0.9742330503732834,0.8577628723614125,0.9845035140212929,0.8299610597846835,0.8436329769688974,0.7295546830430552,9483,2773,665,83,65,7,11,0.8264462612354178,1.0,702,0.8262108262108262,3,67,0.835820895522388
unet_standard,41,4,im0004,21483,270764,4051,9907,0.9806809267275213,0.9544161591090936,0.6843899330997133,0.9852591743536561,0.841348789848829,0.7547958681751107,0.6061623543353742,8935,3690,2217,45,27,5,13,0.6459298871063577,1.0,412,0.6771844660194175,1,23,1.0
unet_standard,41,4,im0139,29853,268938,6952,4204,0.9874623288194372,0.9640067495410506,0.8765598848988461,0.9748015513429266,0.8111126205678576,0.8425672433744461,0.7279621546489795,13841,2759,639,98,77,6,15,0.8057528780743066,1.0,804,0.8121890547263682,3,70,1.0
unet_standard,41,4,im0235,33144,267044,4442,4556,0.9931245717766982,0.9708977767428021,0.8791511936339522,0.983638198654811,0.881817698079072,0.8804824270116622,0.7864837928907029,12635,2432,258,91,82,2,7,0.9148351648351648,1.0,777,0.918918918918919,4,100,1.0
unet_standard,42,0,im0236,33185,267139,3483,5172,0.9930790440530642,0.9719883875603197,0.8651615089814115,0.9871296494741744,0.9050125449983637,0.8846384538487171,0.7931405353728489,13589,2840,235,98,81,6,11,0.8542872093892503,1.0,831,0.8712394705174489,2,47,1.0
unet_standard,42,0,im0255,30321,269293,2345,7582,0.9918120683469892,0.9679299349682271,0.7999630636097407,0.9913671872123929,0.9282128206698096,0.8593291671980615,0.7533542039355993,19437,5542,90,132,101,9,22,0.7973941907765437,1.0,1133,0.7987643424536628,4,92,0.5434782608695652
unet_standard,42,0,im0291,17027,286314,1861,4391,0.9899308627084402,0.9798057449619338,0.7949855261929218,0.993542118504381,0.9014718339686574,0.8448866173770655,0.7314317625327549,7222,2152,22,46,32,2,12,0.7174588171752633,1.0,412,0.6723300970873787,2,47,0.10638297872340426
unet_standard,42,0,im0324,23114,276124,6637,5147,0.9847180271484386,0.9621120049385574,0.817876225186653,0.976527880436128,0.776915061678599,0.7968696131834793,0.6623302194968193,7363,1984,1112,42,35,1,6,0.8476190476190476,1.0,313,0.865814696485623,0,0,
unet_standard,42,1,im0044,25885,308959,5923,3611,0.9920014487106433,0.9723153046942604,0.8775766205587199,0.9811897790283344,0.8137889839034205,0.8444799686806733,0.7308224399333692,10327,2115,1179,87,73,7,7,0.8816788575409267,1.0,647,0.8902627511591963,1,20,1.0
unet_standard,42,1,im0081,28905,272950,5544,2708,0.994233553524922,0.9733898299619164,0.9143390377376396,0.9800929283934304,0.8390664460506836,0.8750870394477914,0.7779153322388783,12852,1369,389,69,56,5,8,0.8568646329515894,1.0,603,0.8723051409618574,3,70,1.0
unet_standard,42,1,im0162,26716,275020,4890,3464,0.9933204936008614,0.9730594343577671,0.8852220013253811,0.9825300989603801,0.8452825412896285,0.8647913766872755,0.7617907043056744,17745,2635,190,174,147,11,16,0.8730796781443333,1.0,1430,0.8762237762237762,5,141,0.8794326241134752
unet_standard,42,1,im0240,33033,263792,3086,10210,0.9831275690029111,0.9571264119488845,0.7638924218948732,0.9884366639438246,0.9145602037708686,0.8324638995993044,0.7130091303503205,10414,3616,353,50,34,4,12,0.7088333333333332,1.0,369,0.7425474254742548,0,0,
unet_standard,42,2,im0002,21874,278245,2801,6330,0.984792176557931,0.9704737267582861,0.7755637498227201,0.9900336599702539,0.886484295845998,0.8273227557253352,0.7054991130462829,13057,4616,28,99,66,4,29,0.6872705296947721,1.0,889,0.7019122609673791,4,92,0.75
unet_standard,42,2,im0082,30526,272307,5064,2784,0.9946822386624918,0.9747393628834721,0.9164214950465326,0.9817428642504082,0.8577128406855858,0.8860957910014514,0.7954865273362173,13893,1806,236,106,90,9,7,0.8917946309455743,1.0,843,0.8908659549228944,1,20,0.9
unet_standard,42,2,im0239,30846,271002,3661,5725,0.9909953747906508,0.9698426264482672,0.8434551967405868,0.9866709385683546,0.893905584374185,0.8679478882354597,0.7667031218930205,15247,4067,351,117,96,7,14,0.8427358254281332,1.0,969,0.8121775025799793,4,88,0.5909090909090909
unet_standard,42,2,im0319,15031,287119,4567,3214,0.9892465667707365,0.9748944119820218,0.8238421485338449,0.9843427521375726,0.7669660169405041,0.7943873371561452,0.6589075924951779,9439,1896,699,60,54,1,5,0.9061904761904761,1.0,582,0.9226804123711341,4,117,1.0
unet_standard,42,3,im0001,27988,273404,4058,5811,0.9875040922348213,0.968293490029268,0.8280718364448653,0.9853745738155135,0.873369531298758,0.8501177006606424,0.7393084502205669,13119,3172,380,85,64,5,16,0.7798892284186403,1.0,658,0.770516717325228,3,67,1.0
unet_standard,42,3,im0005,28280,269597,4167,9977,0.9835757987424721,0.9546697177433571,0.7392111247614815,0.9847788606244795,0.8715751841464542,0.7999547408916045,0.6666038091646238,12603,4495,2171,54,46,5,3,0.8945005611672278,1.0,446,0.905829596412556,0,0,
unet_standard,42,3,im0077,31606,269427,6645,2334,0.9941861608574419,0.9710366050346438,0.9312315851502652,0.9759301921237938,0.8262790515280646,0.8756216148827416,0.7787606258469878,12666,1049,574,90,85,3,2,0.9651659451659452,1.0,806,0.9528535980148883,6,150,0.8733333333333333
