model,seed,fold,subject,case,tp,tn,fp,fn,auc,accuracy,sensitivity,specificity,precision,f1,iou,thin_gt_pixels,thin_fn_pixels,far_fp_pixels,evaluated_segments,recovered_segments,partial_segments,missed_segments,mean_tolerant_centerline_coverage,median_tolerant_centerline_coverage,evaluated_centerline_pixels,length_weighted_coverage,long_segments,long_centerline_pixels,long_branch_coverage
unet_standard,42,1,Subject_13,Image_13R,49016,585455,14086,11604,0.980601633952272,0.9610852504161863,0.8085780270537777,0.9765053599336826,0.7767741117555703,0.7923570585667868,0.6561186517816507,13686,6108,565,109,48,13,48,0.4908942182297389,0.6153846153846154,1455,0.5051546391752577,22,593,0.47892074198988194
unet_standard,42,2,Subject_02,Image_02L,61160,578661,8399,16495,0.9835834426912613,0.9625493632609464,0.7875861180864079,0.9856931148434572,0.8792535832890065,0.8308992351270938,0.7107165268319893,11658,5397,907,198,73,29,96,0.4479893475949292,0.3904761904761905,2882,0.4590562109646079,42,1321,0.4693414080242241
unet_standard,42,2,Subject_02,Image_02R,59021,577274,8910,15424,0.9832936355830648,0.9631654075131427,0.792813486466519,0.9847999945409632,0.8688374968718259,0.8290863628701467,0.7080679023453902,14513,6141,270,178,75,23,80,0.4937673237579434,0.5071428571428571,2507,0.4786597526924611,37,1157,0.4070872947277442
unet_standard,42,2,Subject_03,Image_03L,61761,580704,8565,13334,0.9879668757951828,0.9670376480363174,0.8224382448898062,0.9854650422811992,0.878210050337002,0.8494096450994011,0.7382381066220416,12974,4871,744,167,71,18,78,0.4749155311686898,0.3333333333333333,2675,0.48934579439252335,36,1355,0.5261992619926199
unet_standard,42,2,Subject_03,Image_03R,59675,582015,8727,12540,0.9898977699981194,0.9679209963843809,0.8263518659558263,0.9852270534344942,0.8724160112277419,0.8487593960900887,0.7372563069852487,12049,3954,355,139,87,13,39,0.6722993477025572,1.0,2418,0.6993382961124897,36,1350,0.7237037037037037
unet_standard,42,2,Subject_08,Image_08L,52890,543512,14770,8801,0.9848713431432253,0.9619806023810714,0.857337374981764,0.9735438362691257,0.7817026308010642,0.8177748915740891,0.6917251932357672,9871,3815,644,126,60,23,43,0.5612332000883495,0.6609195402298851,1522,0.5696452036793692,21,551,0.5353901996370236
unet_standard,42,2,Subject_08,Image_08R,51662,546761,15872,9237,0.9828451698625541,0.9597310162108761,0.8483226325555427,0.9717897812606086,0.7649776408919952,0.8044972865229342,0.672936395253416,9426,3320,2530,128,72,15,41,0.6166759254085902,0.9821428571428572,1811,0.6294864715626726,30,922,0.6919739696312365
unet_standard,42,3,Subject_07,Image_07L,64231,578975,11816,10274,0.9888171108024213,0.9667967340852793,0.8621032145493591,0.979999695323727,0.8446224045655976,0.8532732876348371,0.7440947162335932,12780,4825,952,145,66,25,54,0.5529687659798224,0.6666666666666666,2121,0.5313531353135313,31,1070,0.5373831775700935
unet_standard,42,3,Subject_07,Image_07R,61257,583673,9947,11545,0.9873264666328737,0.9677501643103019,0.8414191917804456,0.9832434891007715,0.8603027919779788,0.8507562184908962,0.7402748069463075,10450,4462,1108,146,50,23,73,0.4171998908485583,0.20454545454545453,2057,0.4219737481769567,29,899,0.42602892102335926
unet_standard,42,3,Subject_10,Image_10L,52552,587602,15731,7506,0.986323626246234,0.964972391847342,0.8750208132138932,0.9739265049317707,0.7696205497708067,0.8189432839077146,0.6933987781868081,14442,5760,520,142,60,22,60,0.4950753524807061,0.44155844155844154,1928,0.5622406639004149,26,800,0.7025
unet_standard,42,3,Subject_10,Image_10R,51056,583204,19509,8295,0.9805497570466524,0.9580040600304502,0.8602382436690199,0.9676313601996307,0.7235314957840289,0.7859847901721112,0.6474258179051484,16606,6523,1197,176,86,15,75,0.5303825371964641,0.6472868217054264,2428,0.5617792421746294,35,1124,0.6236654804270463
unet_standard,42,3,Subject_11,Image_11L,46758,600264,15905,4361,0.9906474145641236,0.9696293054872859,0.9146892544846339,0.9741872765426368,0.7461819574549575,0.8218874690197043,0.6976306994509429,10460,2834,823,122,70,17,35,0.6417342428949165,1.0,1695,0.6005899705014749,25,740,0.4891891891891892
unet_standard,42,3,Subject_11,Image_11R,46580,598546,16315,4543,0.9908770597104919,0.9686809292715741,0.911135887956497,0.9734655474977272,0.7405994117179426,0.8170639723552422,0.690708502624633,9125,2561,1081,86,51,13,22,0.6466147356496342,0.8944444444444444,1112,0.6816546762589928,14,431,0.6821345707656613
unet_standard,42,4,Subject_04,Image_04L,65072,576780,10377,10011,0.9901555981310134,0.9692135781589756,0.8666675545729393,0.9823267030794148,0.8624633858632984,0.8645603592591609,0.7614322490053826,7163,2116,914,73,50,8,15,0.7447696727908775,1.0,1089,0.7796143250688705,14,469,0.8400852878464818
unet_standard,42,4,Subject_04,Image_04R,60483,582498,9480,13081,0.9877157833592021,0.9661013129148874,0.8221820455657659,0.9839858913675846,0.8644998070408645,0.8428100636117246,0.7283247435094649,8415,3273,956,108,51,18,39,0.5577287331795945,0.6833333333333333,1364,0.6209677419354839,17,536,0.7294776119402985
unet_standard,42,4,Subject_14,Image_14L,57063,588448,11624,8950,0.9905277986095412,0.9691120502638552,0.8644206444185236,0.9806289911877242,0.830768558824814,0.847260579064588,0.7349974883109858,13111,4841,1185,80,56,8,16,0.7443770422688767,1.0,752,0.7446808510638298,5,105,0.6761904761904762
unet_standard,42,4,Subject_14,Image_14R,47946,586358,15020,8163,0.9829184479137238,0.9647399872545008,0.8545153183981179,0.9750240281486852,0.7614585649398088,0.805307579256771,0.674071054000478,10232,4588,3374,35,23,1,11,0.6711904761904762,1.0,323,0.7089783281733746,2,54,1.0
unet_standard,43,0,Subject_05,Image_05L,64667,580227,9919,10975,0.9900324758970533,0.9686176380469459,0.8549086486343566,0.9831922947880694,0.867012576086665,0.860918071198445,0.7557999555872419,9810,2582,942,90,63,13,14,0.773082989832822,1.0,1663,0.8382441371016236,27,1067,0.915651358950328
unet_standard,43,0,Subject_05,Image_05R,69305,574166,9963,12210,0.9891667301556585,0.9666894015419654,0.8502116174937128,0.982943836036218,0.8743124589998487,0.8620936293016053,0.7576138525109862,9070,3057,852,118,75,15,28,0.6890921687562708,1.0,1543,0.7271548930654569,18,608,0.7368421052631579
unet_standard,43,0,Subject_09,Image_09L,40499,606833,9461,7989,0.98639142139504,0.9737507934932053,0.8352375845570038,0.9846485605895887,0.8106285028022417,0.8227490654965057,0.6988731470776027,7509,2667,1472,90,49,15,26,0.6375204179038683,1.0,1171,0.6319385140905209,15,466,0.6223175965665236
unet_standard,43,0,Subject_09,Image_09R,37769,607293,8362,10914,0.9853805158218066,0.9709846493802854,0.7758149662099706,0.9864177177152789,0.8187336064685352,0.7966966903621828,0.6620913314050311,7919,3450,1451,93,44,18,31,0.5833584402247035,0.7,1313,0.6039603960396039,18,583,0.614065180102916
unet_standard,43,0,Subject_12,Image_12L,59195,570403,19334,9732,0.9822499006251715,0.9558712788310884,0.8588071437898066,0.9672158945428216,0.7537979599893033,0.8028835720486112,0.6706812748552589,11247,4565,1374,110,55,20,35,0.5901744341517069,0.775,1468,0.5837874659400545,23,652,0.5460122699386503
unet_standard,43,0,Subject_12,Image_12R,62174,576248,17509,8309,0.9871668576656523,0.9611315187281705,0.8821134174198033,0.9705115055485661,0.7802668072236236,0.8280702689024146,0.706586962451132,15132,4985,1007,152,105,16,31,0.7450860139698549,1.0,2020,0.7524752475247525,32,932,0.776824034334764
unet_standard,43,1,Subject_01,Image_01L,56184,588683,8398,10586,0.9905127718980267,0.9714032215060308,0.841455743597424,0.985934906654206,0.8699637669938992,0.8554723186552166,0.7474457215836526,10607,4620,1924,125,61,19,45,0.5660011817159565,0.7,1812,0.5066225165562914,29,939,0.47710330138445156
unet_standard,43,1,Subject_01,Image_01R,56734,584017,5238,15849,0.9859841052291705,0.9681387288127911,0.781643084468815,0.9911108094118845,0.9154779577873878,0.8432834157036156,0.7290320093548014,9592,5146,720,96,37,16,43,0.48116996113188054,0.4423076923076923,1366,0.47218155197657397,22,655,0.4687022900763359
