model,seed,case,tp,tn,fp,fn,auc,accuracy,sensitivity,specificity,precision,f1,iou,thin_gt_pixels,thin_fn_pixels,far_fp_pixels,evaluated_segments,recovered_segments,partial_segments,missed_segments,mean_tolerant_centerline_coverage,median_tolerant_centerline_coverage,evaluated_centerline_pixels,length_weighted_coverage,long_segments,long_centerline_pixels,long_branch_coverage
unet_standard,43,03,25093,188997,3844,7793,0.9773626276599335,0.9484465748448347,0.7630298607310102,0.980066479638666,0.8671596917441338,0.8117690827038481,0.6831745167438061,12766,4507,101,139,79,13,47,0.6055181458311218,1.0,1270,0.6,8,239,0.6694560669456067
unet_standard,43,04,24946,193004,4230,5397,0.9759610921466182,0.9576978341396538,0.8221336057739841,0.9785533934311529,0.8550178228681108,0.8382533308691342,0.7215457148642004,12866,3723,45,188,111,15,62,0.6211402025349145,1.0,1693,0.6077968103957472,11,262,0.5419847328244275
unet_standard,43,05,23839,193235,3560,7059,0.972848735210501,0.9533626418027783,0.7715386109133278,0.9819101095048146,0.8700682506660827,0.8178465444190953,0.6918277323117998,16091,5336,57,167,90,14,63,0.5782392837198087,1.0,1458,0.5864197530864198,7,167,0.6766467065868264
unet_standard,43,06,23934,192201,3193,8171,0.9726741723279432,0.9500481320797014,0.7454913564865285,0.9836586589148081,0.8822943930401445,0.8081442463533225,0.6780554139044705,16717,5879,102,186,81,22,83,0.49477913715291,0.4722222222222222,1637,0.5094685400122174,10,249,0.6224899598393574
unet_standard,43,07,23437,194254,3277,6707,0.9769423561064097,0.9561480180081257,0.7775013269639066,0.9834101989054882,0.8773302388260837,0.8244046572162229,0.7012656712845217,15559,5004,36,165,89,18,58,0.5863333888333888,0.9,1552,0.5618556701030928,10,270,0.3592592592592593
unet_standard,43,08,21358,193497,3440,6953,0.9757015189337824,0.9538597457025145,0.7544064144678747,0.9825324850078959,0.8612791354141464,0.8043081210340997,0.6726717268747441,14286,4828,104,144,82,17,45,0.6318072820947737,1.0,1376,0.6322674418604651,9,233,0.7381974248927039
unet_standard,43,09,20576,197769,3151,6164,0.9768374897684563,0.9590837213388386,0.7694839192221391,0.9843171411507068,0.8671977072533401,0.8154239403966949,0.6883677361078585,14533,4501,25,170,86,22,62,0.5733334098515759,0.8611111111111112,1481,0.5941931127616475,4,105,0.9904761904761905
unet_standard,43,10,22222,195180,5000,4930,0.9779258313216397,0.9563193919025919,0.818429581614614,0.9750224797682087,0.8163250312247446,0.8173759517416412,0.6911545160487683,14801,3844,119,215,125,26,64,0.6404556051565963,1.0,2329,0.6290253327608416,19,530,0.6037735849056604
unet_standard,43,11,24666,191971,6310,4867,0.9760223430307988,0.950938045949766,0.8352013002404091,0.9681764768182529,0.7962939049586777,0.8152836768084086,0.6881678430934911,17486,3981,285,239,150,21,68,0.6618295977747825,1.0,2350,0.6753191489361702,16,422,0.7701421800947867
unet_standard,43,12,24022,194272,4843,4468,0.9846016859069617,0.9590914083609763,0.8431730431730432,0.9756773723727494,0.8322189502858133,0.8376601865574056,0.7206672066720667,14767,3140,105,172,126,16,30,0.7787273625637169,1.0,1515,0.7656765676567657,6,167,0.6107784431137725
unet_standard,43,13,25902,190929,4319,6350,0.9774274022097036,0.9531032967032967,0.8031129852412253,0.9778794148979759,0.8570861321597565,0.8292222240007683,0.7082661124935058,16138,4535,79,179,108,21,50,0.6668867838763879,1.0,1657,0.6698853349426674,7,191,0.5968586387434555
unet_standard,43,14,23165,193252,5971,3466,0.9843581475159001,0.9582163698672593,0.8698509256130074,0.970028560959327,0.7950645249862712,0.8307780587085553,0.7105392307220416,13612,2360,357,162,132,14,16,0.8528571824409457,1.0,1529,0.8613472858077175,8,213,0.92018779342723
unet_standard,43,15,20806,197277,6505,2806,0.9844870280897761,0.9590534490795711,0.8811621209554464,0.9680786330490426,0.7618175826590019,0.8171553129234335,0.6908390609954511,14842,2154,584,140,111,12,17,0.8261884306354121,1.0,1392,0.8419540229885057,12,297,0.898989898989899
unet_standard,43,16,25150,193080,4823,4641,0.9853441100066113,0.9584354440608888,0.8442146957134705,0.9756294750458558,0.8390885129950288,0.8416437989425072,0.7265846189403131,18736,4163,299,134,115,7,12,0.8856898698316609,1.0,1056,0.8674242424242424,3,65,0.7384615384615385
unet_standard,43,17,22259,193854,4179,5592,0.9820638526495277,0.9567432841635529,0.7992172632939571,0.9788974564845253,0.8419320674786293,0.8200187883364954,0.6949422416484545,15935,4861,122,115,87,10,18,0.7887270217705,1.0,884,0.8065610859728507,3,67,1.0
unet_standard,43,18,23114,194694,6774,3030,0.9858286289596723,0.956926699822505,0.8841034271725826,0.9663767943296205,0.7733538543897216,0.825028555111365,0.7021690260647669,15868,2770,170,124,111,6,7,0.9116760927244799,1.0,1125,0.9235555555555556,8,190,0.9315789473684211
unet_standard,43,19,25524,193386,6635,1843,0.9903051460153559,0.9627157105915879,0.9326561186830855,0.966828483009284,0.7936813955657825,0.8575748412458422,0.7506617257808365,17024,1718,393,126,110,9,7,0.912734302216095,1.0,1025,0.9063414634146342,4,97,0.9587628865979382
unet_standard,43,20,21484,196300,6959,2780,0.9863204928800916,0.9571955362754535,0.8854269699967029,0.9657628936480057,0.7553352318672433,0.8152237843170737,0.6880825032828364,16078,2534,706,137,125,9,3,0.940725632702728,1.0,1245,0.944578313253012,8,215,0.9395348837209302
unet_dpd_v3,41,01,26884,186718,8247,2528,0.98680540791357,0.9519781439274079,0.9140486876104991,0.9577001000179519,0.7652500640459993,0.8330570317462777,0.7138798162457846,18345,2075,148,168,147,9,12,0.9045616951133463,1.0,1576,0.8978426395939086,8,226,0.8805309734513275
unet_dpd_v3,41,02,29809,185295,6069,3914,0.9867048860822379,0.9556482604504036,0.8839367790528719,0.9682855709537844,0.8308434137911812,0.856568152756426,0.7491204262163249,14468,2448,282,145,114,9,22,0.8055939254570086,1.0,1308,0.8119266055045872,5,120,1.0
unet_dpd_v3,41,03,25117,188601,4240,7769,0.9758110464994559,0.9467985664098668,0.7637596545642522,0.9780129744193403,0.8555710733385564,0.807062641582186,0.676533965415073,12766,4302,248,139,79,17,43,0.6306939046283286,1.0,1270,0.637007874015748,8,239,0.7615062761506276
unet_dpd_v3,41,04,25321,192328,4906,5022,0.9753441049574563,0.9563752048757124,0.8344923046501664,0.9751259924759422,0.8376947761934694,0.83609047383193,0.7183466197622628,12866,3517,152,188,113,16,59,0.6443377027519113,1.0,1693,0.6284701712935618,11,262,0.5763358778625954
unet_dpd_v3,41,05,24262,192812,3983,6636,0.9724326241871548,0.9533626418027783,0.7852288173991844,0.9797606646510328,0.8589838909541512,0.8204521245117765,0.6955649207304836,16091,5064,75,167,95,14,58,0.5996806002210054,1.0,1458,0.6069958847736625,7,167,0.7544910179640718
unet_dpd_v3,41,06,24286,191898,3496,7819,0.9726316343541583,0.9502635176418358,0.7564553807818097,0.9821079459962947,0.8741631272046649,0.8110608312321539,0.6821718491053622,16717,5719,111,186,81,24,81,0.5036128869053133,0.48333333333333334,1637,0.5088576664630422,10,249,0.5622489959839357
unet_dpd_v3,41,07,23919,193787,3744,6225,0.9773667968289876,0.9562139013945317,0.7934912420382165,0.981046013030866,0.8646567617395077,0.8275468368882661,0.7058250708215298,15559,4639,186,165,95,21,49,0.6284970831637499,1.0,1552,0.604381443298969,10,270,0.40370370370370373
unet_dpd_v3,41,08,21763,193136,3801,6548,0.9765505349122098,0.9540550859497088,0.7687118081311151,0.9806994114869222,0.8513143483023001,0.807907192575406,0.6777217239661186,14286,4558,120,144,88,15,41,0.6573516938830578,1.0,1376,0.6504360465116279,9,233,0.6909871244635193
unet_dpd_v3,41,09,21425,196964,3956,5315,0.9770232908426771,0.9592769920056224,0.8012341062079282,0.9803105713716902,0.8441353768567038,0.8221254388826001,0.697973677352098,14533,3911,60,170,93,18,59,0.5974210913830291,1.0,1481,0.6178257933828494,4,105,0.9809523809523809
unet_dpd_v3,41,10,22405,194933,5247,4747,0.9782662721074604,0.9560378653247233,0.8251694166175604,0.9737885902687581,0.8102488065962679,0.8176410480986789,0.6915336893113985,14801,3755,161,215,122,30,63,0.632517510105812,1.0,2329,0.6311721768999571,19,530,0.6245283018867924
unet_dpd_v3,41,11,24853,191860,6421,4680,0.9762507597311813,0.9512716514349425,0.8415332001489859,0.9676166652377182,0.7946856813966874,0.8174387817192099,0.6912443678033042,17486,3808,264,239,143,34,62,0.6717549424365683,1.0,2350,0.6825531914893617,16,422,0.7725118483412322
unet_dpd_v3,41,12,24349,193773,5342,4141,0.9845468602038926,0.9583357131873201,0.8546507546507547,0.9731712829269518,0.8200801589707318,0.8370086454340764,0.7197032395365335,14767,2913,152,172,132,19,21,0.8146491058341263,1.0,1515,0.8,6,167,0.6467065868263473
unet_dpd_v3,41,13,26587,190108,5140,5665,0.9781163662530951,0.9525054945054945,0.8243519781718963,0.9736745062689502,0.8379928767295994,0.8311164600884665,0.7110344458707745,16138,3982,141,179,116,20,43,0.7040853877669897,1.0,1657,0.7127338563669282,7,191,0.6544502617801047
unet_dpd_v3,41,14,23247,193134,6089,3384,0.9842130080605163,0.9580569748598652,0.8729300439337614,0.9694362598695934,0.7924393236978456,0.8307395429449497,0.7104828850855746,13612,2322,377,162,136,12,14,0.8679667020095296,1.0,1529,0.8705035971223022,8,213,0.8967136150234741
unet_dpd_v3,41,15,20653,197919,5863,2959,0.9852524243225023,0.9612039015981072,0.8746823648992038,0.9712290585036951,0.778888218434153,0.8240105330354293,0.7006955046649703,14842,2242,242,140,112,8,20,0.8273936627282492,1.0,1392,0.8441091954022989,12,297,0.8922558922558923
unet_dpd_v3,41,16,25603,192294,5609,4188,0.9849396088339705,0.9569729549307404,0.859420630391729,0.9716578323724249,0.8202934768678714,0.8394013409176598,0.7232485875706215,18736,3762,501,134,114,10,10,0.8911059711432845,1.0,1056,0.875,3,65,0.7538461538461538
unet_dpd_v3,41,17,22775,193214,4819,5076,0.9817989875490256,0.9561943298330117,0.817744425693871,0.975665671882969,0.8253605856345583,0.8215348543601767,0.697122742577288,15935,4435,248,115,93,14,8,0.8480036388732041,1.0,884,0.8540723981900452,3,67,1.0
unet_dpd_v3,41,18,23312,193852,7616,2832,0.9852383584811838,0.9540973235154562,0.8916768665850673,0.9621974705660452,0.7537506466632178,0.816932996916176,0.690521327014218,15868,2583,377,124,110,7,7,0.91260298840944,1.0,1125,0.9288888888888889,8,190,0.9578947368421052
unet_dpd_v3,41,19,25573,192993,7028,1794,0.990036886646506,0.961202877900329,0.9344465962655754,0.9648636893126221,0.7844237906812674,0.8528882070437567,0.7435092309928769,17024,1659,521,126,106,12,8,0.8928393437146939,1.0,1025,0.8868292682926829,4,97,1.0
unet_dpd_v3,41,20,21821,195584,7675,2443,0.9865218472783552,0.955529770616597,0.8993158588855918,0.9622402944027079,0.739795226471386,0.8117931547619047,0.6832086164250603,16078,2191,751,137,129,3,5,0.9474299381296613,1.0,1245,0.944578313253012,8,215,0.9209302325581395
unet_dpd_v3,42,01,26958,185942,9023,2454,0.98561199932425,0.9488494810074116,0.9165646674826602,0.9537198984433103,0.7492287596231344,0.8244919180952089,0.7013919604527123,18345,2016,201,168,148,7,13,0.8985362586524985,1.0,1576,0.8934010152284264,8,226,0.8628318584070797
unet_dpd_v3,42,02,30149,184845,6519,3574,0.9866403931711089,0.9551595605254857,0.8940189188387747,0.9659340314792751,0.822215555797971,0.8566151922831043,0.7491923860643109,14468,2314,336,145,112,8,25,0.7994843127348198,1.0,1308,0.8103975535168195,5,120,1.0
unet_dpd_v3,42,03,25634,188665,4176,7252,0.976934873046654,0.9493724720569537,0.7794806300553427,0.9783448540507464,0.8599127809459913,0.8177236187316576,0.6916518266688252,12766,4297,137,139,84,13,42,0.6441737601855554,1.0,1270,0.6543307086614173,8,239,0.8451882845188284
unet_dpd_v3,42,04,25376,192379,4855,4967,0.9735526022949663,0.9568409812942432,0.8363049138186732,0.97538456858351,0.8394032615527108,0.8378512232971241,0.7209500539803398,12866,3646,75,188,114,12,62,0.6286592101751676,1.0,1693,0.61193148257531,11,262,0.5038167938931297
unet_dpd_v3,42,05,24388,192767,4028,6510,0.9722986506050547,0.953718383964373,0.7893067512460353,0.9795320003048857,0.8582488738738738,0.8223353677040833,0.6982763557235298,16091,5151,42,167,95,13,59,0.6033174102949413,1.0,1458,0.6145404663923183,7,167,0.8203592814371258
unet_dpd_v3,42,06,24705,191695,3699,7400,0.972091002557311,0.9512129723647137,0.7695063074287494,0.9810690195195348,0.8697718631178707,0.816572741245104,0.6900067031616579,16717,5501,121,186,89,22,75,0.5379054254404886,0.5714285714285714,1637,0.5455100794135614,10,249,0.642570281124498
