config_id,rho,branch_tolerance,min_branch_length,long_branch_threshold,far_fp_distance,architecture,seed,image_id,thin_FN,far_FP,recovered,partial,missed,length_weighted_coverage,long_branch_coverage
RHO_1,1,1,5,20,5,Standard U-Net,41,11,3140,332,109,25,60,0.6591251885369532,0.7692307692307693
RHO_1,1,1,5,20,5,Standard U-Net,41,12,2054,127,70,15,24,0.7005758157389635,0.6227544910179641
RHO_1,1,1,5,20,5,Standard U-Net,41,13,3396,89,69,19,49,0.5932977913175933,0.5654761904761905
RHO_1,1,1,5,20,5,Standard U-Net,41,14,1640,427,101,10,15,0.8403830806065443,0.9342723004694836
RHO_1,1,1,5,20,5,Standard U-Net,41,15,1479,823,63,11,18,0.7816550348953141,0.8823529411764706
RHO_1,1,1,5,20,5,Standard U-Net,41,16,2190,386,9,4,5,0.4968944099378882,0.45
RHO_1,1,1,5,20,5,Standard U-Net,41,17,2461,177,7,2,8,0.5104895104895105,
RHO_1,1,1,5,20,5,Standard U-Net,41,18,1554,258,21,4,4,0.8081180811808119,0.813953488372093
RHO_1,1,1,5,20,5,Standard U-Net,41,19,1311,356,42,7,9,0.7782258064516129,0.92
RHO_1,1,1,5,20,5,Standard U-Net,41,20,1337,584,21,5,8,0.6983240223463687,0.6964285714285714
RHO_1,1,1,5,20,5,Standard U-Net,42,01,1582,138,71,8,15,0.781799379524302,0.7567567567567568
RHO_1,1,1,5,20,5,Standard U-Net,42,02,1878,237,59,10,26,0.6897654584221748,1.0
RHO_1,1,1,5,20,5,Standard U-Net,42,03,3330,79,47,17,43,0.5436802973977695,0.7196652719665272
RHO_1,1,1,5,20,5,Standard U-Net,42,04,3013,174,63,15,66,0.48535871156661786,0.4214876033057851
RHO_1,1,1,5,20,5,Standard U-Net,42,05,3849,55,45,14,65,0.4428822495606327,0.5748502994011976
RHO_1,1,1,5,20,5,Standard U-Net,42,06,4233,84,49,19,82,0.41232575201760824,0.6144578313253012
RHO_1,1,1,5,20,5,Standard U-Net,42,07,3516,86,30,16,61,0.3582938388625592,0.384297520661157
RHO_1,1,1,5,20,5,Standard U-Net,42,08,3234,41,45,16,48,0.490072202166065,0.5622317596566524
RHO_1,1,1,5,20,5,Standard U-Net,42,09,3005,41,51,21,52,0.5282854656222803,0.9904761904761905
RHO_1,1,1,5,20,5,Standard U-Net,42,10,3035,93,75,32,69,0.5135668475579674,0.5009861932938856
RHO_1,1,1,5,20,5,Standard U-Net,42,11,3267,241,101,25,68,0.615887380593263,0.7453580901856764
RHO_1,1,1,5,20,5,Standard U-Net,42,12,2082,100,67,11,31,0.6813819577735125,0.6347305389221557
RHO_1,1,1,5,20,5,Standard U-Net,42,13,3524,117,65,22,50,0.5620715917745621,0.44642857142857145
RHO_1,1,1,5,20,5,Standard U-Net,42,14,1797,393,90,20,16,0.8012769353551477,0.9014084507042254
RHO_1,1,1,5,20,5,Standard U-Net,42,15,1662,490,56,11,25,0.7268195413758723,0.8392156862745098
RHO_1,1,1,5,20,5,Standard U-Net,42,16,2282,484,7,3,8,0.37267080745341613,0.25
RHO_1,1,1,5,20,5,Standard U-Net,42,17,2633,165,7,3,7,0.46853146853146854,
RHO_1,1,1,5,20,5,Standard U-Net,42,18,1631,305,19,4,6,0.7121771217712177,0.627906976744186
RHO_1,1,1,5,20,5,Standard U-Net,42,19,1339,344,43,11,4,0.8064516129032258,0.96
RHO_1,1,1,5,20,5,Standard U-Net,42,20,1310,669,23,5,6,0.7625698324022346,0.7678571428571429
RHO_1,1,1,5,20,5,Standard U-Net,43,01,1599,104,71,9,14,0.8148914167528438,0.8378378378378378
RHO_1,1,1,5,20,5,Standard U-Net,43,02,2008,181,57,13,25,0.6982942430703625,1.0
RHO_1,1,1,5,20,5,Standard U-Net,43,03,3224,101,49,12,46,0.54182156133829,0.6694560669456067
RHO_1,1,1,5,20,5,Standard U-Net,43,04,2953,45,68,15,61,0.5190336749633968,0.5041322314049587
RHO_1,1,1,5,20,5,Standard U-Net,43,05,3724,57,48,13,63,0.4718804920913884,0.6766467065868264
RHO_1,1,1,5,20,5,Standard U-Net,43,06,4283,102,46,22,82,0.41672780630961115,0.6224899598393574
RHO_1,1,1,5,20,5,Standard U-Net,43,07,3487,36,35,17,55,0.37156398104265403,0.28512396694214875
RHO_1,1,1,5,20,5,Standard U-Net,43,08,3135,104,47,18,44,0.5415162454873647,0.7381974248927039
RHO_1,1,1,5,20,5,Standard U-Net,43,09,3124,25,47,22,55,0.5100087032201914,0.9904761904761905
RHO_1,1,1,5,20,5,Standard U-Net,43,10,2935,119,87,25,64,0.5747409965466206,0.5857988165680473
RHO_1,1,1,5,20,5,Standard U-Net,43,11,3300,285,105,21,68,0.6178984414278532,0.7427055702917772
RHO_1,1,1,5,20,5,Standard U-Net,43,12,2198,105,65,15,29,0.6708253358925144,0.6107784431137725
RHO_1,1,1,5,20,5,Standard U-Net,43,13,3535,79,67,21,49,0.5887281035795887,0.5416666666666666
RHO_1,1,1,5,20,5,Standard U-Net,43,14,1711,357,96,14,16,0.8316041500399042,0.92018779342723
RHO_1,1,1,5,20,5,Standard U-Net,43,15,1458,584,63,12,17,0.7836490528414756,0.8823529411764706
RHO_1,1,1,5,20,5,Standard U-Net,43,16,2367,299,8,2,8,0.38509316770186336,0.15
RHO_1,1,1,5,20,5,Standard U-Net,43,17,2679,122,6,3,8,0.4755244755244755,
RHO_1,1,1,5,20,5,Standard U-Net,43,18,1637,170,20,4,5,0.7490774907749077,0.6976744186046512
RHO_1,1,1,5,20,5,Standard U-Net,43,19,1237,393,44,7,7,0.8306451612903226,0.92
RHO_1,1,1,5,20,5,Standard U-Net,43,20,1318,706,23,8,3,0.8156424581005587,0.8839285714285714
RHO_1,1,1,5,20,5,DPD-2,41,01,1428,148,74,8,12,0.8366080661840745,0.8540540540540541
RHO_1,1,1,5,20,5,DPD-2,41,02,1823,282,64,9,22,0.7377398720682303,1.0
RHO_1,1,1,5,20,5,DPD-2,41,03,3092,248,48,15,44,0.5752788104089219,0.7615062761506276
RHO_1,1,1,5,20,5,DPD-2,41,04,2795,152,70,16,58,0.5439238653001464,0.5413223140495868
RHO_1,1,1,5,20,5,DPD-2,41,05,3618,75,52,14,58,0.4964850615114236,0.7544910179640718
RHO_1,1,1,5,20,5,DPD-2,41,06,4135,111,46,24,80,0.41379310344827586,0.5622489959839357
RHO_1,1,1,5,20,5,DPD-2,41,07,3231,186,41,20,46,0.43981042654028435,0.3347107438016529
RHO_1,1,1,5,20,5,DPD-2,41,08,3013,120,53,16,40,0.5640794223826715,0.6909871244635193
RHO_1,1,1,5,20,5,DPD-2,41,09,2820,60,53,16,55,0.5291557876414273,0.9809523809523809
RHO_1,1,1,5,20,5,DPD-2,41,10,2873,161,83,30,63,0.576221016280217,0.6074950690335306
RHO_1,1,1,5,20,5,DPD-2,41,11,3146,264,98,34,62,0.6264454499748617,0.7453580901856764
RHO_1,1,1,5,20,5,DPD-2,41,12,2024,152,71,18,20,0.7197696737044146,0.6467065868263473
RHO_1,1,1,5,20,5,DPD-2,41,13,3124,141,74,20,43,0.638994668697639,0.6071428571428571
RHO_1,1,1,5,20,5,DPD-2,41,14,1671,377,100,12,14,0.8427773343974462,0.8967136150234741
RHO_1,1,1,5,20,5,DPD-2,41,15,1465,242,64,8,20,0.7836490528414756,0.8745098039215686
RHO_1,1,1,5,20,5,DPD-2,41,16,2146,501,7,5,6,0.40993788819875776,0.2
RHO_1,1,1,5,20,5,DPD-2,41,17,2487,248,8,3,6,0.5594405594405595,
RHO_1,1,1,5,20,5,DPD-2,41,18,1551,377,18,6,5,0.7638376383763837,0.813953488372093
RHO_1,1,1,5,20,5,DPD-2,41,19,1224,521,41,9,8,0.7983870967741935,1.0
RHO_1,1,1,5,20,5,DPD-2,41,20,1131,751,26,3,5,0.8072625698324022,0.8482142857142857
RHO_1,1,1,5,20,5,DPD-2,42,01,1357,201,75,6,13,0.8355739400206825,0.8324324324324325
RHO_1,1,1,5,20,5,DPD-2,42,02,1766,336,62,8,25,0.7356076759061834,1.0
RHO_1,1,1,5,20,5,DPD-2,42,03,3167,137,54,12,41,0.6013011152416357,0.8451882845188284
RHO_1,1,1,5,20,5,DPD-2,42,04,2918,75,72,11,61,0.5248901903367497,0.4628099173553719
RHO_1,1,1,5,20,5,DPD-2,42,05,3664,42,53,12,59,0.507908611599297,0.8203592814371258
RHO_1,1,1,5,20,5,DPD-2,42,06,3985,121,55,21,74,0.4600146735143067,0.642570281124498
RHO_1,1,1,5,20,5,DPD-2,42,07,3324,176,38,18,51,0.43317535545023694,0.47107438016528924
RHO_1,1,1,5,20,5,DPD-2,42,08,3083,84,50,16,43,0.5496389891696751,0.6652360515021459
RHO_1,1,1,5,20,5,DPD-2,42,09,2836,79,56,18,50,0.5613577023498695,1.0
RHO_1,1,1,5,20,5,DPD-2,42,10,2804,115,90,26,60,0.5994079921065614,0.631163708086785
RHO_1,1,1,5,20,5,DPD-2,42,11,2953,295,114,22,58,0.6827551533433887,0.8010610079575596
RHO_1,1,1,5,20,5,DPD-2,42,12,1934,181,71,12,26,0.7044145873320538,0.6766467065868264
RHO_1,1,1,5,20,5,DPD-2,42,13,3290,147,69,22,46,0.6153846153846154,0.5952380952380952
RHO_1,1,1,5,20,5,DPD-2,42,14,1612,445,97,16,13,0.8371907422186752,0.9342723004694836
RHO_1,1,1,5,20,5,DPD-2,42,15,1588,318,59,7,26,0.7397806580259222,0.8666666666666667
RHO_1,1,1,5,20,5,DPD-2,42,16,2086,646,9,3,6,0.5217391304347826,0.6
RHO_1,1,1,5,20,5,DPD-2,42,17,2416,239,7,5,5,0.6153846153846154,
RHO_1,1,1,5,20,5,DPD-2,42,18,1497,353,21,3,5,0.8154981549815498,0.8837209302325582
RHO_1,1,1,5,20,5,DPD-2,42,19,1192,423,48,5,5,0.8548387096774194,1.0
RHO_1,1,1,5,20,5,DPD-2,42,20,1129,813,26,7,1,0.835195530726257,0.8125
RHO_1,1,1,5,20,5,DPD-2,43,01,1612,85,70,10,14,0.8024819027921406,0.7891891891891892
RHO_1,1,1,5,20,5,DPD-2,43,02,2000,173,58,10,27,0.6918976545842217,1.0
RHO_1,1,1,5,20,5,DPD-2,43,03,3173,96,48,13,46,0.5566914498141264,0.7447698744769874
RHO_1,1,1,5,20,5,DPD-2,43,04,2987,61,63,22,59,0.5183016105417276,0.5
RHO_1,1,1,5,20,5,DPD-2,43,05,3721,42,49,13,62,0.47012302284710017,0.6946107784431138
RHO_1,1,1,5,20,5,DPD-2,43,06,4267,97,45,24,81,0.42112986060161406,0.6385542168674698
RHO_1,1,1,5,20,5,DPD-2,43,07,3480,26,38,18,51,0.4056872037914692,0.34710743801652894
RHO_1,1,1,5,20,5,DPD-2,43,08,3121,90,49,17,43,0.5478339350180506,0.7296137339055794
RHO_1,1,1,5,20,5,DPD-2,43,09,3125,25,49,17,58,0.5004351610095735,1.0
RHO_1,1,1,5,20,5,DPD-2,43,10,2892,105,86,26,64,0.5855944745929945,0.6173570019723866
RHO_1,1,1,5,20,5,DPD-2,43,11,3228,241,106,24,64,0.6365007541478129,0.7427055702917772
RHO_1,1,1,5,20,5,DPD-2,43,12,2163,106,68,10,31,0.6880998080614203,0.6526946107784432
RHO_1,1,1,5,20,5,DPD-2,43,13,3501,67,67,22,48,0.5986290936785986,0.5416666666666666
RHO_1,1,1,5,20,5,DPD-2,43,14,1699,343,94,15,17,0.833998403830806,0.9295774647887324
RHO_1,1,1,5,20,5,DPD-2,43,15,1433,281,60,15,17,0.7806580259222333,0.8823529411764706
RHO_1,1,1,5,20,5,DPD-2,43,16,2378,271,7,4,7,0.40993788819875776,0.45
RHO_1,1,1,5,20,5,DPD-2,43,17,2642,129,6,2,9,0.44755244755244755,
RHO_1,1,1,5,20,5,DPD-2,43,18,1652,180,20,4,5,0.7638376383763837,0.7209302325581395
RHO_1,1,1,5,20,5,DPD-2,43,19,1207,347,46,5,7,0.8225806451612904,0.92
RHO_1,1,1,5,20,5,DPD-2,43,20,1323,674,23,9,2,0.8184357541899442,0.875
RHO_3,3,1,5,20,5,Standard U-Net,41,01,3082,104,225,10,13,0.9174228675136116,0.8708487084870848
