observer,architecture,seed,image_id,AUC,accuracy,sensitivity,specificity,precision,F1,IoU,thin_FN,far_FP,recovered,partial,missed,length_weighted_coverage,long_branch_coverage
OBSERVER_1,DPD-2,41,01,0.98680540791357,0.9519781439274079,0.9140486876104991,0.9577001000179519,0.7652500640459993,0.8330570317462777,0.7138798162457846,2075,148,147,9,12,0.8978426395939086,0.8805309734513275
OBSERVER_1,DPD-2,41,02,0.9867048860822379,0.9556482604504036,0.8839367790528719,0.9682855709537844,0.8308434137911812,0.856568152756426,0.7491204262163249,2448,282,114,9,22,0.8119266055045872,1.0
OBSERVER_1,DPD-2,41,03,0.9758110464994559,0.9467985664098668,0.7637596545642522,0.9780129744193403,0.8555710733385564,0.807062641582186,0.676533965415073,4302,248,79,17,43,0.637007874015748,0.7615062761506276
OBSERVER_1,DPD-2,41,04,0.9753441049574563,0.9563752048757124,0.8344923046501664,0.9751259924759422,0.8376947761934694,0.83609047383193,0.7183466197622628,3517,152,113,16,59,0.6284701712935618,0.5763358778625954
OBSERVER_1,DPD-2,41,05,0.9724326241871548,0.9533626418027783,0.7852288173991844,0.9797606646510328,0.8589838909541512,0.8204521245117765,0.6955649207304836,5064,75,95,14,58,0.6069958847736625,0.7544910179640718
OBSERVER_1,DPD-2,41,06,0.9726316343541583,0.9502635176418358,0.7564553807818097,0.9821079459962947,0.8741631272046649,0.8110608312321539,0.6821718491053622,5719,111,81,24,81,0.5088576664630422,0.5622489959839357
OBSERVER_1,DPD-2,41,07,0.9773667968289876,0.9562139013945317,0.7934912420382165,0.981046013030866,0.8646567617395077,0.8275468368882661,0.7058250708215298,4639,186,95,21,49,0.604381443298969,0.40370370370370373
OBSERVER_1,DPD-2,41,08,0.9765505349122098,0.9540550859497088,0.7687118081311151,0.9806994114869222,0.8513143483023001,0.807907192575406,0.6777217239661186,4558,120,88,15,41,0.6504360465116279,0.6909871244635193
OBSERVER_1,DPD-2,41,09,0.9770232908426771,0.9592769920056224,0.8012341062079282,0.9803105713716902,0.8441353768567038,0.8221254388826001,0.697973677352098,3911,60,93,18,59,0.6178257933828494,0.9809523809523809
OBSERVER_1,DPD-2,41,10,0.9782662721074604,0.9560378653247233,0.8251694166175604,0.9737885902687581,0.8102488065962679,0.8176410480986789,0.6915336893113985,3755,161,122,30,63,0.6311721768999571,0.6245283018867924
OBSERVER_1,DPD-2,41,11,0.9762507597311813,0.9512716514349425,0.8415332001489859,0.9676166652377182,0.7946856813966874,0.8174387817192099,0.6912443678033042,3808,264,143,34,62,0.6825531914893617,0.7725118483412322
OBSERVER_1,DPD-2,41,12,0.9845468602038926,0.9583357131873201,0.8546507546507547,0.9731712829269518,0.8200801589707318,0.8370086454340764,0.7197032395365335,2913,152,132,19,21,0.8,0.6467065868263473
OBSERVER_1,DPD-2,41,13,0.9781163662530951,0.9525054945054945,0.8243519781718963,0.9736745062689502,0.8379928767295994,0.8311164600884665,0.7110344458707745,3982,141,116,20,43,0.7127338563669282,0.6544502617801047
OBSERVER_1,DPD-2,41,14,0.9842130080605163,0.9580569748598652,0.8729300439337614,0.9694362598695934,0.7924393236978456,0.8307395429449497,0.7104828850855746,2322,377,136,12,14,0.8705035971223022,0.8967136150234741
OBSERVER_1,DPD-2,41,15,0.9852524243225023,0.9612039015981072,0.8746823648992038,0.9712290585036951,0.778888218434153,0.8240105330354293,0.7006955046649703,2242,242,112,8,20,0.8441091954022989,0.8922558922558923
OBSERVER_1,DPD-2,41,16,0.9849396088339705,0.9569729549307404,0.859420630391729,0.9716578323724249,0.8202934768678714,0.8394013409176598,0.7232485875706215,3762,501,114,10,10,0.875,0.7538461538461538
OBSERVER_1,DPD-2,41,17,0.9817989875490256,0.9561943298330117,0.817744425693871,0.975665671882969,0.8253605856345583,0.8215348543601767,0.697122742577288,4435,248,93,14,8,0.8540723981900452,1.0
OBSERVER_1,DPD-2,41,18,0.9852383584811838,0.9540973235154562,0.8916768665850673,0.9621974705660452,0.7537506466632178,0.816932996916176,0.690521327014218,2583,377,110,7,7,0.9288888888888889,0.9578947368421052
